Overs,Runs,Wickets,Economy,Innings,Opposition,Ground
9,50,3,5.55,2,West Indies,Port of Spain
10,41,3,4.1,2,West Indies,North Sound
10,31,2,3.1,1,West Indies,North Sound
10,36,0,3.6,1,West Indies,Kingston
8.4,31,2,3.57,2,Sri Lanka,Colombo (RPS)
10,40,1,4,1,Sri Lanka,Colombo (RPS)
4,33,2,8.25,2,Australia,Chennai
10,54,3,5.4,2,Australia,Eden Gardens
10,75,2,7.5,1,Australia,Indore
10,48,0,4.8,1,Australia,Nagpur
10,64,1,6.4,2,New Zealand,Wankhede
10,42,3,4.2,1,Sri Lanka,Visakhapatnam
6,20,3,3.33,1,South Africa,Centurion
9,23,4,2.55,2,South Africa,Cape Town
6,51,2,8.5,2,South Africa,Johannesburg
10,57,4,5.7,2,South Africa,Gqeberha
10,51,1,5.1,1,South Africa,Centurion
10,25,6,2.5,1,England,Nottingham
10,68,3,6.8,1,England,Lord's
10,55,0,5.5,2,England,Leeds
10,42,2,4.2,2,Hong Kong,Dubai (DSC)
8,37,1,4.62,1,Pakistan,Dubai (DSC)
10,34,0,3.4,1,Bangladesh,Dubai (DSC)
10,41,2,4.1,1,Pakistan,Dubai (DSC)
10,38,2,3.8,1,Afghanistan,Dubai (DSC)
10,45,3,4.5,1,Bangladesh,Dubai (DSC)
10,67,3,6.7,2,West Indies,Visakhapatnam
10,52,2,5.2,1,West Indies,Pune
8.2,42,3,5.04,2,West Indies,Brabourne
5,18,1,3.6,1,West Indies,Thiruvananthapuram
10,54,2,5.4,1,Australia,Sydney
10,66,0,6.6,1,Australia,Adelaide
10,39,4,3.9,1,New Zealand,Napier
10,45,4,4.5,2,New Zealand,Mount Maunganui
8,39,0,4.87,1,New Zealand,Mount Maunganui
1,2,0,2,2,New Zealand,Hamilton
10,46,2,4.6,1,Australia,Hyderabad
10,54,3,5.4,2,Australia,Nagpur
10,64,3,6.4,1,Australia,Ranchi
10,64,1,6.4,2,Australia,Mohali
10,74,1,7.4,1,Australia,Delhi
10,46,1,4.6,1,South Africa,Southampton
9,55,0,6.11,2,Australia,The Oval
9,32,2,3.55,2,Pakistan,Manchester
10,39,0,3.9,2,Afghanistan,Southampton
9,35,1,3.88,2,West Indies,Manchester
10,72,1,7.2,1,England,Birmingham
10,58,1,5.8,1,Sri Lanka,Leeds
2,3,1,1.5,1,West Indies,Providence
10,59,2,5.9,2,West Indies,Port of Spain
10,45,0,4.5,2,West Indies,Chennai
10,52,3,5.2,2,West Indies,Visakhapatnam
10,67,0,6.7,1,West Indies,Cuttack
10,55,0,5.5,2,Australia,Wankhede
10,65,2,6.5,2,Australia,Rajkot
10,62,1,6.2,1,Australia,Bengaluru
10,84,2,8.4,2,New Zealand,Hamilton
10,57,1,5.7,2,Australia,Canberra
9,68,0,7.55,2,England,Pune
10,84,0,8.4,2,England,Pune
9,48,2,5.33,1,Sri Lanka,Colombo (RPS)
10,55,0,5.5,1,Sri Lanka,Colombo (RPS)
8,51,2,6.37,2,West Indies,Ahmedabad
10,36,0,3.6,1,Zimbabwe,Harare
8,49,1,6.12,1,Zimbabwe,Harare
10,38,2,3.8,2,Zimbabwe,Harare
8,39,1,4.87,1,South Africa,Lucknow
9,49,1,5.44,1,South Africa,Ranchi
4.1,18,4,4.32,1,South Africa,Delhi
10,53,1,5.3,2,Bangladesh,Chattogram
10,51,3,5.1,1,Sri Lanka,Eden Gardens
5,16,2,3.2,2,Sri Lanka,Thiruvananthapuram
8,43,2,5.37,2,New Zealand,Hyderabad
7.3,29,1,3.86,1,New Zealand,Raipur
9,62,3,6.88,2,New Zealand,Indore
8,48,1,6,1,Australia,Wankhede
1,12,0,12,2,Australia,Visakhapatnam
10,56,3,5.6,1,Australia,Chennai
3,6,4,2,1,West Indies,Bridgetown
8,30,1,3.75,2,West Indies,Bridgetown
8,25,2,3.12,2,West Indies,Tarouba
10,34,0,3.4,1,Nepal,Pallekele
8,25,5,3.12,2,Pakistan,Colombo (RPS)
9.3,43,4,4.52,2,Sri Lanka,Colombo (RPS)
1,1,0,1,1,Sri Lanka,Colombo (RPS)
6,48,2,8,1,Australia,Rajkot
10,42,2,4.2,1,Australia,Chennai
10,40,1,4,1,Afghanistan,Delhi
10,35,2,3.5,1,Pakistan,Ahmedabad
10,47,1,4.7,1,Bangladesh,Pune
10,73,2,7.3,1,New Zealand,Dharamsala
8,24,2,3,2,England,Lucknow
2,3,0,1.5,2,Sri Lanka,Wankhede
5.1,7,2,1.35,2,South Africa,Eden Gardens
10,41,2,4.1,2,Netherlands,Bengaluru
10,56,1,5.6,2,New Zealand,Wankhede
