Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
8,13,9,0,0,88.88,7,bowled,1,South Africa,Belfast
1,3,4,0,0,25,7,caught,2,Australia,Hyderabad
52,82,61,3,1,85.24,5,caught,2,Pakistan,Jaipur
29,68,43,5,0,67.44,4,caught,1,Australia,Brisbane
0,1,2,0,0,0,5,caught,1,Sri Lanka,Brisbane
39,86,61,2,0,63.93,6,not out,2,Australia,Melbourne
70,93,64,6,1,109.37,4,not out,1,Sri Lanka,Canberra
1,12,3,0,0,33.33,4,caught,2,Australia,Adelaide
24,74,36,1,0,66.66,4,caught,2,Sri Lanka,Adelaide
1,3,3,0,0,33.33,4,caught,2,Australia,Sydney
3,8,7,0,0,42.85,5,not out,2,Sri Lanka,Hobart
66,108,87,6,0,75.86,5,bowled,2,Australia,Sydney
2,6,5,0,0,40,6,caught,1,Australia,Brisbane
9,28,27,0,0,33.33,5,bowled,1,Pakistan,Mirpur
26,50,43,1,1,60.46,3,caught,2,Bangladesh,Mirpur
24,43,27,5,0,88.88,3,caught,2,Pakistan,Mirpur
0,3,1,0,0,0,6,not out,2,Pakistan,Karachi
22,28,23,2,0,95.65,3,caught,2,Bangladesh,Karachi
58,81,71,4,0,81.69,6,caught,1,Pakistan,Karachi
22,37,28,2,0,78.57,6,not out,2,Sri Lanka,Karachi
3,8,8,0,0,37.5,6,lbw,2,Sri Lanka,Karachi
19,46,31,1,1,61.29,5,caught,1,Sri Lanka,Dambulla
0,2,2,0,0,0,6,lbw,2,Sri Lanka,Dambulla
32,39,32,3,0,100,7,caught,1,Sri Lanka,Colombo (RPS)
18,30,23,0,0,78.26,6,caught,1,Sri Lanka,Colombo (RPS)
3,11,5,0,0,60,5,lbw,2,Sri Lanka,Colombo (RPS)
11,30,8,1,0,137.5,7,not out,1,England,Rajkot
3,16,13,0,0,23.07,4,caught,1,England,Indore
28,54,41,3,0,68.29,4,caught,2,England,Kanpur
8,13,10,1,0,80,6,not out,2,England,Cuttack
25,44,30,3,0,83.33,6,not out,2,Sri Lanka,Dambulla
4,12,6,0,0,66.66,7,not out,1,Sri Lanka,Colombo (RPS)
15,31,22,1,0,68.18,5,caught,2,Sri Lanka,Colombo (RPS)
43,106,74,1,1,58.1,4,not out,1,New Zealand,Auckland
48,34,61,3,0,78.68,4,caught,2,South Africa,Ahmedabad
101,126,100,6,2,101,4,not out,2,Sri Lanka,Bulawayo
32,43,40,1,0,80,5,bowled,1,Sri Lanka,Harare
0,1,1,0,0,0,4,lbw,2,Bangladesh,Dambulla
22,20,24,2,0,91.66,5,lbw,2,Pakistan,Dambulla
69,118,73,7,0,94.52,4,run out,1,Sri Lanka,Dambulla
41,80,52,3,0,78.84,5,caught,1,Sri Lanka,Dambulla
4,13,11,0,0,36.36,3,caught,2,New Zealand,Dambulla
0,3,2,0,0,0,4,lbw,2,Sri Lanka,Dambulla
11,12,21,2,0,52.38,3,lbw,1,Sri Lanka,Dambulla
5,16,9,0,0,55.55,7,stumped,2,Sri Lanka,Dambulla
44,56,48,4,1,91.66,5,caught,2,New Zealand,Bengaluru
11,28,27,1,0,40.74,4,caught,2,South Africa,Durban
9,29,14,1,0,64.28,7,lbw,1,South Africa,Johannesburg
23,67,45,2,0,51.11,1,bowled,2,South Africa,Cape Town
1,6,6,0,0,16.66,1,caught,2,South Africa,Gqeberha
5,15,8,1,0,62.5,2,bowled,2,South Africa,Centurion
0,1,1,0,0,0,5,retired notout,1,England,Chester-le-Street
21,34,21,2,0,100,4,caught,2,Australia,Melbourne
10,29,17,1,0,58.82,4,caught,2,Sri Lanka,Perth
33,49,41,1,1,80.48,4,caught,2,Australia,Adelaide
15,30,27,2,0,55.55,4,run out,2,Sri Lanka,Adelaide
0,6,5,0,0,0,4,caught,2,Australia,Brisbane
4,9,6,0,0,66.66,6,run out,1,Bangladesh,Mirpur
68,109,83,5,1,81.92,4,caught,2,Pakistan,Mirpur
5,10,8,0,0,62.5,4,bowled,1,Sri Lanka,Hambantota
0,5,5,0,0,0,4,bowled,1,Sri Lanka,Hambantota
0,1,1,0,0,0,5,lbw,2,Sri Lanka,Colombo (RPS)
4,18,14,0,0,28.57,4,lbw,2,Sri Lanka,Colombo (RPS)
4,12,9,1,0,44.44,4,bowled,1,Sri Lanka,Pallekele
4,19,14,0,0,28.57,5,caught,1,Pakistan,Chennai
