Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
9.00,60.00,27.00,1.00,0.00,33.33,3.00,bowled,1.00,Sri Lanka,Dharamsala
88.00,99.00,70.00,9.00,2.00,125.71,3.00,caught,1.00,Sri Lanka,Mohali
65.00,82.00,63.00,8.00,1.00,103.17,3.00,caught,2.00,Sri Lanka,Visakhapatnam
18.00,39.00,21.00,2.00,0.00,85.71,5.00,caught,1.00,South Africa,Johannesburg
30.00,57.00,37.00,2.00,0.00,81.08,5.00,caught,1.00,South Africa,Gqeberha
71.00,101.00,68.00,5.00,1.00,104.41,5.00,bowled,1.00,West Indies,Port of Spain
65.00,65.00,41.00,3.00,5.00,158.53,5.00,caught,2.00,West Indies,Port of Spain
103.00,161.00,107.00,11.00,1.00,96.26,4.00,caught,1.00,New Zealand,Hamilton
52.00,101.00,57.00,7.00,1.00,91.22,4.00,caught,2.00,New Zealand,Auckland
62.00,102.00,63.00,9.00,0.00,98.41,4.00,caught,1.00,New Zealand,Mount Maunganui
6.00,16.00,9.00,1.00,0.00,66.66,4.00,caught,1.00,England,Pune
17.00,25.00,17.00,1.00,0.00,100.00,5.00,caught,2.00,South Africa,Paarl
11.00,29.00,14.00,0.00,0.00,78.57,5.00,lbw,1.00,South Africa,Paarl
26.00,56.00,34.00,2.00,0.00,76.47,5.00,caught,2.00,South Africa,Cape Town
80.00,154.00,111.00,9.00,0.00,72.07,4.00,caught,1.00,West Indies,Ahmedabad
54.00,76.00,57.00,5.00,2.00,94.73,3.00,caught,1.00,West Indies,Port of Spain
63.00,98.00,71.00,4.00,1.00,88.73,3.00,lbw,2.00,West Indies,Port of Spain
44.00,47.00,34.00,4.00,1.00,129.41,3.00,caught,1.00,West Indies,Port of Spain
50.00,53.00,37.00,8.00,0.00,135.13,5.00,caught,2.00,South Africa,Lucknow
113.00,155.00,111.00,15.00,0.00,101.80,4.00,not out,2.00,South Africa,Ranchi
28.00,40.00,23.00,3.00,2.00,121.73,4.00,not out,2.00,South Africa,Delhi
80.00,122.00,76.00,4.00,4.00,105.26,3.00,caught,1.00,New Zealand,Auckland
49.00,81.00,59.00,8.00,0.00,83.05,3.00,caught,1.00,New Zealand,Christchurch
24.00,47.00,39.00,2.00,0.00,61.53,4.00,caught,1.00,Bangladesh,Mirpur
82.00,140.00,102.00,6.00,3.00,80.39,3.00,caught,2.00,Bangladesh,Mirpur
3.00,12.00,6.00,0.00,0.00,50.00,4.00,caught,1.00,Bangladesh,Chattogram
28.00,24.00,24.00,3.00,1.00,116.66,4.00,caught,1.00,Sri Lanka,Guwahati
28.00,46.00,33.00,5.00,0.00,84.84,4.00,lbw,2.00,Sri Lanka,Eden Gardens
38.00,64.00,32.00,2.00,1.00,118.75,4.00,caught,1.00,Sri Lanka,Thiruvananthapuram
14.00,18.00,9.00,2.00,0.00,155.55,4.00,caught,1.00,Pakistan,Pallekele
3.00,8.00,8.00,0.00,0.00,37.50,3.00,run out,2.00,Australia,Mohali
105.00,118.00,90.00,11.00,3.00,116.66,3.00,caught,1.00,Australia,Indore
48.00,74.00,43.00,1.00,2.00,111.62,4.00,bowled,2.00,Australia,Rajkot
0.00,2.00,3.00,0.00,0.00,0.00,4.00,caught,2.00,Australia,Chennai
25.00,31.00,23.00,1.00,1.00,108.69,4.00,not out,2.00,Afghanistan,Delhi
53.00,80.00,62.00,3.00,2.00,85.48,4.00,not out,2.00,Pakistan,Ahmedabad
19.00,38.00,25.00,2.00,0.00,76.00,4.00,caught,2.00,Bangladesh,Pune
33.00,32.00,29.00,6.00,0.00,113.79,4.00,caught,2.00,New Zealand,Dharamsala
4.00,21.00,16.00,0.00,0.00,25.00,4.00,caught,1.00,England,Lucknow
82.00,84.00,56.00,3.00,6.00,146.42,4.00,caught,1.00,Sri Lanka,Wankhede
77.00,101.00,87.00,7.00,2.00,88.50,4.00,caught,1.00,South Africa,Eden Gardens
