Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
9,32,21,1,0,42.85,3,caught,1,New Zealand,Hamilton
7,13,11,1,0,63.63,3,caught,1,New Zealand,Wellington
33,37,39,3,1,84.61,2,lbw,1,Australia,Canberra
64,83,53,6,2,120.75,2,run out,1,West,Port of Spain
43,70,49,5,0,87.75,2,caught,2,West,Port of Spain
98,162,98,7,2,100,2,not out,1,West,Port of Spain
82,130,72,10,1,113.88,2,not out,2,Zimbabwe,Harare
33,62,34,6,0,97.05,3,caught,2,Zimbabwe,Harare
130,145,97,15,1,134.02,3,caught,1,Zimbabwe,Harare
3,13,7,0,0,42.85,2,bowled,2,South Africa,Lucknow
28,34,26,5,0,107.69,2,caught,2,South Africa,Ranchi
49,82,57,8,0,85.96,2,lbw,2,South Africa,Delhi
50,93,65,1,3,76.92,2,caught,1,New Zealand,Auckland
45,49,42,4,1,107.14,2,not out,1,New Zealand,Hamilton
13,34,22,2,0,59.09,2,caught,1,New Zealand,Christchurch
70,89,60,11,0,116.66,2,lbw,1,Sri Lanka,Guwahati
21,25,12,5,0,175,2,caught,2,Sri Lanka,Eden Gardens
116,147,97,14,2,119.58,2,bowled,1,Sri Lanka,Thiruvananthapuram
208,225,149,19,9,139.59,2,caught,1,New Zealand,Hyderabad
40,88,53,6,0,75.47,2,not out,2,New Zealand,Raipur
112,120,78,13,5,143.58,2,caught,1,New Zealand,Indore
20,57,31,3,0,64.51,2,caught,2,Australia,Wankhede
0,4,2,0,0,0,2,caught,1,Australia,Visakhapatnam
37,62,49,4,1,75.51,2,lbw,2,Australia,Chennai
7,19,16,1,0,43.75,2,caught,2,West,Bridgetown
34,72,49,5,0,69.38,2,caught,1,West,Bridgetown
85,168,92,11,0,92.39,2,caught,1,West,Tarouba
10,75,32,1,0,31.25,2,bowled,1,Pakistan,Pallekele
67,87,62,8,1,108.06,2,not out,2,Nepal,Pallekele
58,83,52,10,0,111.53,2,caught,1,Pakistan,Colombo (RPS)
19,54,25,2,0,76,2,bowled,1,Sri Lanka,Colombo (RPS)
121,185,133,8,5,90.97,2,caught,2,Bangladesh,Colombo (RPS)
27,26,19,6,0,142.1,2,not out,2,Sri Lanka,Colombo (RPS)
74,110,63,6,2,117.46,2,bowled,2,Australia,Mohali
104,155,97,6,4,107.21,2,caught,1,Australia,Indore
16,11,11,4,0,145.45,2,caught,2,Pakistan,Ahmedabad
53,80,55,5,2,96.36,2,caught,2,Bangladesh,Pune
26,53,31,5,0,83.87,2,caught,2,New Zealand,Dharamsala
9,18,13,1,0,69.23,2,bowled,1,England,Lucknow
92,136,92,11,2,100,2,caught,1,Sri Lanka,Wankhede
23,54,24,4,1,95.83,2,bowled,1,South Africa,Eden Gardens
35,42,20,2,3,175,2,not out,1,Netherlands,Bengaluru
