Overs,Runs,Wickets,Economy,Innings,Opposition,Ground
10,76,0,7.6,1,Australia,Adelaide
8,26,1,3.25,1,West Indies,Ahmedabad
9,38,1,4.22,2,West Indies,Ahmedabad
9,29,3,3.22,2,West Indies,Ahmedabad
9,66,2,7.33,1,England,Manchester
10,57,2,5.7,2,West Indies,Port of Spain
10,46,0,4.6,1,West Indies,Port of Spain
3,14,2,4.66,2,West Indies,Port of Spain
8,36,1,4.5,1,Zimbabwe,Harare
8,16,1,2,1,Zimbabwe,Harare
8,49,0,6.12,1,South Africa,Lucknow
10,38,3,3.8,1,South Africa,Ranchi
5,17,2,3.4,1,South Africa,Delhi
10,32,3,3.2,2,Bangladesh,Mirpur
10,73,2,7.3,1,Bangladesh,Mirpur
5,27,1,5.4,2,Bangladesh,Chattogram
7,30,2,4.28,2,Sri Lanka,Guwahati
5.4,30,3,5.29,1,Sri Lanka,Eden Gardens
10,32,4,3.2,2,Sri Lanka,Thiruvananthapuram
10,46,4,4.6,2,New Zealand,Hyderabad
6,10,1,1.66,1,New Zealand,Raipur
5.4,29,3,5.11,1,Australia,Wankhede
3,37,0,12.33,2,Australia,Visakhapatnam
7,37,2,5.28,1,Australia,Chennai
9.2,61,3,6.53,1,Nepal,Pallekele
5,23,0,4.6,2,Pakistan,Colombo (RPS)
5,17,1,3.4,2,Sri Lanka,Colombo (RPS)
7,21,6,3,1,Sri Lanka,Colombo (RPS)
9,68,1,7.55,1,Australia,Rajkot
6.3,26,1,4,1,Australia,Chennai
9,76,0,8.44,1,Afghanistan,Delhi
8,50,2,6.25,1,Pakistan,Ahmedabad
10,60,2,6,1,Bangladesh,Pune
10,45,1,4.5,1,New Zealand,Dharamsala
6,33,0,5.5,2,England,Lucknow
7,16,3,2.28,2,Sri Lanka,Wankhede
4,11,1,2.75,2,South Africa,Eden Gardens
6,29,2,4.83,2,Netherlands,Bengaluru
9,78,1,8.66,2,New Zealand,Wankhede
