Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
31.00,26.00,20.00,5.00,0.00,155.00,5.00,not out,2.00,Sri Lanka,Colombo (RPS)
53.00,78.00,44.00,6.00,0.00,120.45,5.00,lbw,2.00,Sri Lanka,Colombo (RPS)
40.00,63.00,37.00,7.00,0.00,108.10,5.00,lbw,1.00,Sri Lanka,Colombo (RPS)
39.00,42.00,32.00,4.00,1.00,121.87,6.00,caught,2.00,South Africa,Cape Town
34.00,47.00,36.00,5.00,0.00,94.44,5.00,not out,2.00,West Indies,Ahmedabad
64.00,118.00,83.00,5.00,0.00,77.10,5.00,caught,1.00,West Indies,Ahmedabad
6.00,13.00,7.00,1.00,0.00,85.71,6.00,caught,1.00,West Indies,Ahmedabad
27.00,45.00,29.00,1.00,1.00,93.10,5.00,bowled,2.00,England,Lord's
16.00,34.00,28.00,1.00,0.00,57.14,5.00,caught,2.00,England,Manchester
13.00,22.00,14.00,2.00,0.00,92.85,4.00,bowled,1.00,West Indies,Port of Spain
9.00,10.00,8.00,0.00,1.00,112.50,4.00,bowled,2.00,West Indies,Port of Spain
8.00,9.00,6.00,1.00,0.00,133.33,4.00,caught,1.00,West Indies,Port of Spain
4.00,2.00,3.00,1.00,0.00,133.33,5.00,caught,1.00,New Zealand,Auckland
6.00,17.00,10.00,0.00,0.00,60.00,5.00,caught,1.00,New Zealand,Christchurch
4.00,6.00,4.00,0.00,0.00,100.00,6.00,caught,1.00,Sri Lanka,Thiruvananthapuram
31.00,39.00,26.00,4.00,0.00,119.23,5.00,caught,1.00,New Zealand,Hyderabad
14.00,19.00,9.00,0.00,2.00,155.55,5.00,caught,1.00,New Zealand,Indore
0.00,3.00,1.00,0.00,0.00,0.00,4.00,lbw,2.00,Australia,Wankhede
0.00,1.00,1.00,0.00,0.00,0.00,4.00,lbw,1.00,Australia,Visakhapatnam
0.00,2.00,1.00,0.00,0.00,0.00,7.00,bowled,2.00,Australia,Chennai
19.00,30.00,25.00,3.00,1.00,76.00,3.00,lbw,2.00,West Indies,Bridgetown
24.00,37.00,25.00,3.00,0.00,96.00,6.00,caught,1.00,West Indies,Bridgetown
35.00,43.00,30.00,2.00,2.00,116.66,6.00,caught,1.00,West Indies,Tarouba
26.00,37.00,34.00,3.00,0.00,76.47,6.00,bowled,2.00,Bangladesh,Colombo (RPS)
50.00,66.00,49.00,5.00,1.00,102.04,6.00,caught,2.00,Australia,Mohali
72.00,48.00,37.00,6.00,6.00,194.59,6.00,not out,1.00,Australia,Indore
8.00,7.00,7.00,1.00,0.00,114.28,6.00,caught,2.00,Australia,Rajkot
2.00,8.00,4.00,0.00,0.00,50.00,6.00,run out,2.00,New Zealand,Dharamsala
49.00,75.00,47.00,4.00,1.00,104.25,6.00,caught,1.00,England,Lucknow
12.00,13.00,9.00,2.00,0.00,133.33,6.00,caught,1.00,Sri Lanka,Wankhede
22.00,19.00,14.00,5.00,0.00,157.14,6.00,caught,1.00,South Africa,Eden Gardens
57.00,57.00,31.00,6.00,3.00,183.87,3.00,caught,1.00,England,Ahmedabad
32.00,22.00,17.00,3.00,2.00,188.23,3.00,caught,1.00,England,Ahmedabad
11.00,18.00,8.00,1.00,1.00,137.50,4.00,caught,1.00,Pakistan,Dubai (DSC)
6.00,3.00,2.00,0.00,1.00,300.00,4.00,not out,2.00,Scotland,Dubai (DSC)
25.00,27.00,19.00,4.00,0.00,131.57,3.00,not out,2.00,Namibia,Dubai (DSC)
62.00,56.00,40.00,6.00,3.00,155.00,3.00,bowled,2.00,New Zealand,Jaipur
1.00,3.00,2.00,0.00,0.00,50.00,4.00,bowled,2.00,New Zealand,Ranchi
0.00,5.00,4.00,0.00,0.00,0.00,3.00,caught,1.00,New Zealand,Eden Gardens
34.00,35.00,18.00,5.00,1.00,188.88,5.00,not out,2.00,West Indies,Eden Gardens
8.00,9.00,6.00,1.00,0.00,133.33,4.00,caught,1.00,West Indies,Eden Gardens
65.00,57.00,31.00,1.00,7.00,209.67,5.00,caught,1.00,West Indies,Eden Gardens
0.00,2.00,1.00,0.00,0.00,0.00,3.00,lbw,2.00,Ireland,Dublin (Malahide)
15.00,6.00,5.00,2.00,1.00,300.00,4.00,caught,1.00,Ireland,Dublin (Malahide)
39.00,37.00,19.00,4.00,2.00,205.26,4.00,caught,1.00,England,Southampton
15.00,24.00,11.00,2.00,0.00,136.36,4.00,caught,1.00,England,Birmingham
117.00,88.00,55.00,14.00,6.00,212.72,4.00,caught,2.00,England,Nottingham
24.00,23.00,16.00,3.00,1.00,150.00,2.00,caught,1.00,West Indies,Tarouba
11.00,11.00,6.00,0.00,1.00,183.33,2.00,caught,1.00,West Indies,Basseterre
76.00,77.00,44.00,8.00,4.00,172.72,2.00,caught,2.00,West Indies,Basseterre
24.00,30.00,14.00,1.00,2.00,171.42,2.00,lbw,1.00,West Indies,Lauderhill
