Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla
37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla
25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS)
54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS)
31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS)
2,6,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS)
16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion
79,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg
30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara
10,32,16,1,0,62.5,3,caught,2,v Australia,Mohali
27,20,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot
54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur
9,19,12,1,0,75,3,caught,1,v Sri Lanka,Mirpur
91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur
71,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur
102,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur
2,6,8,0,0,25,3,caught,1,v Sri Lanka,Mirpur
82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo
18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare
68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare
11,35,22,0,0,50,3,stumped,2,v Bangladesh,Dambulla
18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla
10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla
28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla
0,5,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla
8,22,16,1,0,50,3,caught,1,v New Zealand,Dambulla
37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla
118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam
105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati
64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur
63,83,70,6,2,90,3,not out,2,v New Zealand,Vadodara
0,3,2,0,0,0,3,caught,2,v New Zealand,Bengaluru
2,10,8,0,0,25,3,caught,2,v New Zealand,Chennai
54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban
22,43,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg
28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town
87,126,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha
2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion
100,113,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur
8,12,5,1,0,160,7,bowled,1,v England,Bengaluru
34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru
12,16,20,2,0,60,5,bowled,2,v Netherlands,Delhi
1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur
59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai
24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad
9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali
35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede
2,5,8,0,0,25,3,caught,2,v West Indies,Port of Spain
81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain
0,1,1,0,0,0,3,lbw,2,v West Indies,North Sound
22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound
94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston
55,92,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street
9,9,9,0,0,100,4,caught,1,v England,Southampton
7,18,18,0,0,38.88,4,caught,1,v England,The Oval
16,40,36,1,0,44.44,4,caught,1,v England,Lord's
107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff
37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad
112,134,98,16,0,114.28,4,not out,2,v England,Delhi
35,42,30,5,0,116.66,4,lbw,2,v England,Mohali
0,5,5,0,0,0,3,bowled,1,v England,Eden Gardens
3,13,6,0,0,50,4,bowled,2,v West Indies,Cuttack
117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam
20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad
23,15,11,3,0,209.09,6,not out,1,v West Indies,Indore
80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai
31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne
77,156,94,8,1,81.91,3,run out,2,v Sri Lanka,Perth
18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide
15,32,25,1,0,60,3,lbw,2,v Sri Lanka,Adelaide
12,44,25,0,0,48,3,caught,2,v Australia,Brisbane
66,116,83,2,0,79.51,4,caught,2,v Sri Lanka,Brisbane
21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney
133,133,86,16,2,154.65,4,not out,2,v Sri Lanka,Hobart
108,148,120,7,0,90,3,caught,1,v Sri Lanka,Mirpur
66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Mirpur
183,211,148,22,1,123.64,3,caught,2,v Pakistan,Mirpur
